Jugador,Partidos,Minutos jugados,Goles,Asistencias,Paradas,Goles encajados,Tiros,Tiros a puerta,Precision tiros (%),Centros,Centros precisos,Precision centros (%),Tiros al palo,Corners forzados,Faltas recibidas,Faltas cometidas,Pases interceptados,Balones robados,Balones robados al ultimo hombre,Goles salvados bajos palos,TA,TR,Penaltis cometidos,Penaltis forzados,Penaltis lanzados,Penaltis anotados,Penaltis parados,Goles en propia meta,Tiros bloqueados,Errores en gol en contra,Regates con exito,Pases claves,Precision de pases (%),Corners precisos (en corto),Faltas colgadas,Faltas colgadas precisas,Faltas directas,Faltas directas a puerta,Goles de falta,Despejes efectivos
Jose Gaya,7,481,0,1,0,0,0,0,0%,22,5,23%,0,3,8,8,10,11,0,0,1,0,0,0,0,0,0,0,0,0,2,6,77%,0,0,0,0,0,0,14
Jose Gragera,10,569,0,0,0,0,2,0,0%,0,0,0%,0,0,8,18,5,16,0,0,0,0,0,0,0,0,0,0,1,0,0,1,88%,0,1,0,0,0,0,13
Jose Manuel Copete,13,565,0,0,0,0,4,2,50%,3,0,0%,0,2,5,11,4,6,1,0,3,0,0,0,0,0,0,0,4,0,1,0,86%,0,1,0,0,0,0,42
Jose Maria Gimenez,16,1249,0,0,0,0,4,1,25%,0,0,0%,0,0,7,8,16,11,0,0,2,0,0,0,0,0,0,1,12,0,1,0,91%,0,4,0,0,0,0,64
Joseph Aidoo,1,2,0,0,0,0,0,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86%,0,0,0,0,0,0,0
Juan Bernat,10,212,0,1,0,0,2,1,50%,9,2,22%,0,2,2,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,3,4,82%,2,0,0,0,0,0,4
Juan Berrocal,9,617,0,0,0,0,2,0,0%,0,0,0%,0,0,1,11,8,4,0,0,4,1,1,0,0,0,0,0,1,0,0,0,76%,0,0,0,0,0,0,30
Juan Cruz,12,700,0,0,0,0,3,0,0%,7,2,29%,0,1,1,7,4,6,0,0,1,0,0,0,0,0,0,0,1,0,1,1,79%,0,2,0,0,0,0,20
Juan Cruz,19,1165,4,1,0,0,23,10,43%,60,15,25%,1,7,13,7,8,5,0,0,1,0,0,0,0,0,0,0,2,0,27,13,73%,11,12,2,1,0,0,14
Juan Foyth,4,182,0,0,0,0,1,1,100%,0,0,0%,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,84%,0,1,0,0,0,0,16
Juan Iglesias,20,1517,0,0,0,0,9,1,11%,54,12,22%,0,9,20,24,31,29,0,0,2,0,0,0,0,0,0,0,3,0,9,12,60%,0,3,0,0,0,0,69
Juan Miguel Latasa,13,537,0,0,0,0,13,1,8%,2,0,0%,0,1,15,22,0,0,0,0,4,1,0,0,0,0,0,0,1,1,3,4,55%,0,0,0,0,0,0,6
Juan Musso,1,90,0,0,1,0,0,0,0%,0,0,0%,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78%,0,0,0,0,0,0,0
Juan Soriano,6,540,0,0,19,7,0,0,0%,0,0,0%,0,1,3,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,48%,0,1,0,0,0,0,3
Juanlu Sanchez,15,674,2,2,0,0,7,2,29%,15,2,13%,0,5,4,4,8,10,0,0,3,1,0,0,0,0,0,0,0,0,2,8,85%,0,0,0,0,0,0,6
Juanma Herzog,8,557,0,0,0,0,2,0,0%,0,0,0%,0,0,4,1,8,6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,86%,0,0,0,0,0,0,30
Juanmi Jimenez,10,218,0,0,0,0,5,1,20%,1,0,0%,0,0,7,5,1,4,0,0,2,0,0,0,0,0,0,0,0,0,4,4,84%,0,0,0,0,0,0,3
Juanpe Ramirez,5,326,0,0,0,0,0,0,0%,1,0,0%,0,0,2,1,4,4,0,0,1,0,0,0,0,0,0,0,3,0,0,2,92%,0,3,0,0,0,0,23
Jude Bellingham,16,1326,7,5,0,0,27,12,44%,10,0,0%,1,6,35,15,16,19,0,0,2,0,0,0,2,1,0,0,2,0,20,19,88%,0,2,0,0,0,0,13
Julen Agirrezabala,14,1206,0,0,25,9,0,0,0%,0,0,0%,0,0,1,3,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,65%,0,0,0,0,0,0,6
Jules Kounde,20,1615,2,3,0,0,14,5,36%,43,7,16%,0,10,10,15,11,30,0,0,2,0,0,0,0,0,0,0,3,1,14,22,87%,0,5,0,0,0,0,38
Julian Alvarez,20,1276,6,2,0,0,35,17,49%,15,5,33%,2,8,2,16,0,4,0,0,3,0,0,0,0,0,0,0,0,0,13,17,77%,3,1,1,0,0,0,7
Julian Chicco,7,182,0,0,0,0,1,0,0%,1,1,100%,0,0,3,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,79%,0,0,0,0,0,0,1
Justin Smith,5,209,0,0,0,0,0,0,0%,1,0,0%,0,0,2,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,68%,0,0,0,0,0,0,1
Karl Hein,20,1800,0,0,63,39,0,0,0%,0,0,0%,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70%,0,1,0,0,0,0,15
Kelechi Iheanacho,9,399,0,0,0,0,9,2,22%,0,0,0%,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,75%,0,0,0,0,0,0,1
Kenedy,2,8,0,0,0,0,1,0,0%,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50%,0,0,0,0,0,0,0
Kike Barja,4,85,0,0,0,0,2,1,50%,7,0,0%,0,2,3,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,56%,1,1,0,0,0,0,0
Kike Garcia,19,1193,8,0,0,0,31,14,45%,6,1,17%,0,5,30,32,0,8,0,0,4,1,0,1,1,1,0,0,1,0,8,9,68%,0,0,0,0,0,0,10
Kike Perez,18,1162,2,0,0,0,20,5,25%,33,8,24%,0,5,21,32,7,25,0,0,6,0,0,0,0,0,0,0,3,0,8,16,82%,12,22,5,1,1,0,16
